X,Y,Z
458258.6,3640140.87,17.14
458258.22,3640140.88,17.240000000000002
458257.3,3640140.93,21.63
458256.73,3640140.94,23.06
458280.22,3640140.87,30.44
458280.09,3640140.87,29.66
458280.14,3640140.87,32.46
458279.77,3640140.88,30.25
458278.21,3640140.87,20.830000000000002
458277.79,3640140.87,18.37
458277.54,3640140.87,16.88
458279.4,3640140.89,30.43
458279.29,3640140.89,29.740000000000002
458278.98,3640140.88,27.88
458278.55,3640140.88,25.3
458279.16000000003,3640140.89,31.51
458279.05,3640140.9,30.85
458278.6,3640140.9,28.16
458278.22,3640140.9,25.87
458278.68,3640140.91,31.05
458278.02,3640140.91,27.060000000000002
458277.87,3640140.91,26.23
458277.65,3640140.9,24.97
458278.34,3640140.91,31.720000000000002
458277.21,3640140.92,25.080000000000002
458277.92,3640140.92,31.740000000000002
458276.28,3640140.93,22.18
458275.66000000003,3640140.93,18.56
458277.52,3640140.93,32.05
458276.1,3640140.94,23.79
458275.87,3640140.94,22.41
458275.39,3640140.94,19.54
458277.14,3640140.94,32.28
458275.65,3640140.95,23.580000000000002
458275.46,3640140.95,22.48
458274.93,3640140.95,19.38
458275.25,3640140.96,23.69
458274.78,3640140.96,20.88
458275.23,3640140.97,26.29
458274.99,3640140.97,24.89
458274.28,3640140.97,20.62
458272.8,3640140.97,11.8
458275.28,3640140.98,29.05
458274.89,3640140.98,26.830000000000002
458273.71,3640140.98,19.740000000000002
458274.88,3640140.99,29.19
458274.68,3640140.99,28.060000000000002
458274.07,3640140.99,24.400000000000002
458273.5,3640140.99,21.0
458273.2,3640140.99,19.25
458274.73,3640140.99,30.89
458274.21,3640141.0,27.86
458273.71,3640141.0,24.88
458273.05,3640141.0,21.02
458274.4,3640141.0,31.62
458273.57,3640141.01,26.72
458273.91000000003,3640141.01,31.220000000000002
458273.68,3640141.02,29.89
458273.09,3640141.02,26.44
458273.43,3640141.02,30.87
458273.27,3640141.03,29.91
458272.64,3640141.03,26.21
458272.88,3640141.03,30.03
458272.21,3640141.04,26.09
458271.97,3640141.04,24.66
458272.4,3640141.05,29.64
458271.69,3640141.05,25.47
458271.54,3640141.05,24.6
458269.56,3640141.05,12.59
458269.03,3640141.05,9.51
458271.28,3640141.07,25.51
458271.1,3640141.07,24.41
458270.53,3640141.07,20.95
458269.13,3640141.07,12.620000000000001
458268.57,3640141.07,9.290000000000001
458270.11,3640141.08,21.0
458269.56,3640141.08,17.62
458269.45,3640141.08,17.01
458269.52,3640141.09,19.81
458269.01,3640141.09,16.92
458268.98,3640141.1,19.34
458268.53,3640141.1,16.6
458268.05,3640141.1,13.73
458269.57,3640141.11,25.11
458267.61,3640141.11,13.57
458269.17,3640141.12,25.09
